76ers,PHI,Philadelphia 76ers
Bucks,MIL,Milwaukee Bucks
Bulls,CHI,Chicago Bulls
Cavaliers,CLE,Cleveland Cavaliers
Celtics,BOS,Boston Celtics
Clippers,LAC,LA Clippers
Grizzlies,MEM,Memphis Grizzlies
Hawks,ATL,Atlanta Hawks
Heat,MIA,Miami Heat
Hornets,CHA,Charlotte Hornets
Jazz,UTA,Utah Jazz
Kings,SAC,Sacramento Kings
Knicks,NYK,New York Knicks
Lakers,LAL,Los Angeles Lakers
Magic,ORL,Orlando Magic
Mavericks,DAL,Dallas Mavericks
Nets,BKN,Brooklyn Nets
Nuggets,DEN,Denver Nuggets
Pacers,IND,Indiana Pacers
Pelicans,NOP,New Orleans Pelicans
Pistons,DET,Detroit Pistons
Raptors,TOR,Toronto Raptors
Rockets,HOU,Houston Rockets
Spurs,SAS,San Antonio Spurs
Suns,PHX,Phoenix Suns
Thunder,OKC,Oklahoma City Thunder
Timberwolves,MIN,Minnesota Timberwolves
Trail Blazers,POR,Portland Trail Blazers
Warriors,GSW,Golden State Warriors
Wizards,WAS,Washington Wizards
